settlement_id,name_en,name_he,type,source,regional_council,urban_pattern,dist_gl_km,elevation,year_established,pn_db_id,bt_gisid,lon,lat,status,cbs_semel,he_join_key
22,Beit Ha'arava,בית הערבה,Settlement,Peace Now + B'Tselem,Jordan Valley,Kibbutz,22.5,-320.0,1980.0,20.0,3645.0,35.4769,31.8078,active,,בית הערבה
23,Beit Horon,בית חורון,Settlement,Peace Now + B'Tselem,Binyamin,Community,4.7,625.0,1977.0,21.0,3575.0,35.1262,31.8776,active,,בית חורון
24,Beitar Illit,ביתר עילית,Settlement,Peace Now + B'Tselem,Beitar Illit,Urban,0.4,870.0,1985.0,22.0,3780.0,35.1131,31.6973,active,,ביתר עלית
25,Bqa'ot,בקעות,Settlement,Peace Now + B'Tselem,Jordan Valley,Moshav,17.1,100.0,1972.0,23.0,3612.0,35.4546,32.2425,active,,בקעות
26,Bruchin,ברוכין,Settlement,Peace Now + B'Tselem,Shomron,,9.3,,,233.0,15027.0,35.0858929586,32.0804660922,active,,ברוכין
27,Bracha,ברכה,Settlement,Peace Now + B'Tselem,Shomron,Community,23.2,850.0,1983.0,24.0,3710.0,35.2635,32.1924,active,,ברכה
28,Barqan,"ברקן (בית אב""א)",Settlement,Peace Now + B'Tselem,Shomron,Community,10.5,455.0,1981.0,25.0,3654.0,35.1054,32.1067,active,,ברקן בית אב א
29,Bat Ayin,בת עין,Settlement,Peace Now + B'Tselem,Gush Etzion,Community,2.8,870.0,1989.0,26.0,3794.0,35.101,31.6579,active,,בת עין
30,Geva Binyamin (aka Adam),גבע בנימין (אדם),Settlement,Peace Now + B'Tselem,Binyamin,Urban,6.6,655.0,1984.0,27.0,3763.0,35.2739,31.8493,active,,גבע בנימין אדם
31,Giv'on,גבעון,Settlement,Peace Now,Givat Ze'ev,Community,4.9,,1977.0,28.0,,,,active,,גבעון
32,Giv'on Ha'hadasha,גבעון החדשה,Settlement,Peace Now + B'Tselem,Binyamin,Community,4.0,755.0,1980.0,29.0,3644.0,35.1576,31.8477,active,,גבעון החדשה
33,Gva'ot,גבעות,Settlement,Peace Now,Gush Etzion,Community,1.8,,,30.0,,,,active,,גבעות
34,Givat Ze'ev,גבעת זאב,Settlement,Peace Now + B'Tselem,Givat Ze'ev,Urban,4.9,770.0,1983.0,31.0,3730.0,35.1676,31.861,active,,גבעת זאב
35,Gitit,גיתית,Settlement,Peace Now + B'Tselem,Jordan Valley,Moshav,37.0,305.0,1973.0,32.0,3613.0,35.3952,32.1012,active,,גיתית
36,Gilgal,גלגל,Settlement,Peace Now + B'Tselem,Jordan Valley,Kibbutz,30.2,-235.0,1970.0,33.0,3606.0,35.4466,31.9998,active,,גלגל
37,Ganei Modiin,גני מודיעין,Settlement,Peace Now,Binyamin,,0.5,,1985.0,1078.0,,,,active,,גני מודיעין
38,Dolev,דולב,Settlement,Peace Now + B'Tselem,Binyamin,Community,8.6,610.0,1983.0,34.0,3747.0,35.133,31.926,active,,דולב
39,Har Adar,הר אדר,Settlement,Peace Now + B'Tselem,Har Adar,Community,0.0,880.0,1986.0,35.0,3769.0,35.1285,31.8261,active,,הר אדר
40,Har Gilo,הר גילה,Settlement,Peace Now + B'Tselem,Gush Etzion,Community,1.8,915.0,1972.0,36.0,3603.0,35.1697,31.7222,active,,הר גילה
41,Har Shmuel,הר שמואל,Settlement,Peace Now,Givat Ze'ev,Urban,4.9,,1998.0,37.0,,,,active,,הר שמואל
42,Vered Yericho,ורד יריחו,Settlement,Peace Now + B'Tselem,Jordan Valley,Moshav/Community,18.7,-130.0,1980.0,38.0,3639.0,35.4313,31.826,active,,ורד יריחו
43,Hebron,חברון,Settlement,Peace Now,Kiryat Arba,,15.0,,1978.0,39.0,,,,active,,חברון
44,Haggai,חגי,Settlement,Peace Now + B'Tselem,Har Hebron,Community,12.3,880.0,1984.0,40.0,3764.0,35.0792,31.4926,active,,חגי
45,Horesh Yaron,חורש ירון,Settlement,Peace Now,Binyamin,,,,,265.0,,,,active,,חורש ירון
46,Hinanit,חיננית,Settlement,Peace Now + B'Tselem,Shomron,Community,2.3,390.0,1981.0,41.0,3643.0,35.1719,32.4801,active,,חיננית
47,Halamish,חלמיש,Settlement,Peace Now + B'Tselem,Binyamin,Community,10.7,560.0,1977.0,42.0,3573.0,35.1262,32.0063,active,,חלמיש
48,Chemdat,חמדת,Settlement,Peace Now + B'Tselem,Jordan Valley,Community,14.7,130.0,1980.0,43.0,3646.0,35.5257,32.2509,active,,חמדת
49,Hamra,חמרה,Settlement,Peace Now + B'Tselem,Jordan Valley,Moshav,22.5,-55.0,1971.0,44.0,3609.0,35.4366,32.1995,active,,חמרה
50,Hermesh,חרמש,Settlement,Peace Now + B'Tselem,Shomron,Community,5.0,290.0,1982.0,45.0,3717.0,35.1184,32.423,active,,חרמש
51,Hashmonaim,חשמונאים,Settlement,Peace Now + B'Tselem,Binyamin,Urban,0.0,190.0,1985.0,46.0,3770.0,35.0201,31.9299,active,,חשמונאים
52,Tal Menashe,טל מנשה,Settlement,Peace Now,Shomron,Community,,,2000.0,47.0,,,,active,,טל מנשה
53,Talmon,טלמון,Settlement,Peace Now + B'Tselem,Binyamin,Community,10.5,560.0,1989.0,48.0,3788.0,35.1317,31.9453,active,,טלמון
54,Tene,טנא,Settlement,Peace Now + B'Tselem,Har Hebron,Community,2.3,550.0,1983.0,49.0,3743.0,34.9564,31.375,active,,טנא
55,Yitav,"ייט""ב",Settlement,Peace Now + B'Tselem,Jordan Valley,Kibbutz,24.7,-100.0,1970.0,50.0,3607.0,35.4232,31.9467,active,,ייט ב
56,Yafit,יפית,Settlement,Peace Now + B'Tselem,Jordan Valley,Moshav,36.0,-245.0,1980.0,51.0,3566.0,35.4728,32.0619,active,,יפית
57,Yitzhar,יצהר,Settlement,Peace Now + B'Tselem,Shomron,Community,20.5,620.0,1983.0,52.0,3749.0,35.2381,32.166,active,,יצהר
58,Yakir,יקיר,Settlement,Peace Now + B'Tselem,Shomron,Community,11.2,390.0,1981.0,53.0,3647.0,35.1129,32.1493,active,,יקיר
59,Kochav Ha'shachar,כוכב השחר,Settlement,Peace Now + B'Tselem,Binyamin,Community,20.5,600.0,1977.0,54.0,3564.0,35.3478,31.9592,active,,כוכב השחר
60,Kochav Ya'akov,כוכב יעקב,Settlement,Peace Now + B'Tselem,Binyamin,Community,7.7,820.0,1985.0,55.0,3779.0,35.2421,31.8799,active,,כוכב יעקב
61,Kfar Adumim,כפר אדומים,Settlement,Peace Now + B'Tselem,Binyamin,Community,10.6,350.0,1979.0,56.0,3638.0,35.3333,31.8236,active,,כפר אדומים
62,Kfar Ha'oranim,כפר האורנים (מנורה),Settlement,Peace Now + B'Tselem,Binyamin,Urban,0.0,260.0,1998.0,57.0,3796.0,35.0363,31.9195,active,,כפר האורנים מנורה
63,Kfar Etzion,כפר עציון,Settlement,Peace Now + B'Tselem,Gush Etzion,Kibbutz,4.7,955.0,1967.0,58.0,3488.0,35.1148,31.6489,active,,כפר עציון
64,Kfar Tapuah,כפר תפוח,Settlement,Peace Now + B'Tselem,Shomron,Community,24.0,670.0,1978.0,59.0,3572.0,35.2474,32.1176,active,,כפר תפוח
65,Karmei Tzur,כרמי צור,Settlement,Peace Now + B'Tselem,Gush Etzion,Community,8.3,950.0,1984.0,60.0,3766.0,35.0998,31.6086,active,,כרמי צור
66,Carmel,כרמל,Settlement,Peace Now + B'Tselem,Har Hebron,Cooperative,6.4,740.0,1981.0,61.0,3656.0,35.1843,31.4319,active,,כרמל
67,Mevo Dotan,מבוא דותן,Settlement,Peace Now + B'Tselem,Shomron,Community,8.1,330.0,1978.0,62.0,3569.0,35.1738,32.4201,active,,מבוא דותן
68,Mevo Horon,מבוא חורון,Settlement,Peace Now + B'Tselem,Binyamin,Cooperative,0.2,250.0,1970.0,63.0,3709.0,35.0356,31.8475,active,,מבוא חורון
69,Mevo'ot Jericho,מבואות יריחו,Settlement,Peace Now,Jordan Valley,,,,2019.0,275.0,,,,active,,מבואות יריחו
70,Migdal Oz,מגדל עוז,Settlement,Peace Now + B'Tselem,Gush Etzion,Kibbutz,7.4,940.0,1977.0,64.0,3561.0,35.1425,31.6392,active,,מגדל עוז
71,Migdalim,מגדלים,Settlement,Peace Now + B'Tselem,Shomron,Community,32.7,790.0,1983.0,65.0,3751.0,35.3418,32.09,active,,מגדלים
72,New Migron,מגרון החדשה,Settlement,Peace Now,Binyamin,,,,2012.0,335.0,,,,active,,מגרון החדשה
73,Modi'in Ilit,מודיעין עילית,Settlement,Peace Now + B'Tselem,Modi'in Illit,Urban,0.6,280.0,1996.0,66.0,3797.0,35.0412,31.9316,active,,מודיעין עלית
74,Mechola,מחולה,Settlement,Peace Now + B'Tselem,Jordan Valley,Moshav,2.9,-180.0,1968.0,67.0,3599.0,35.5147,32.365,active,,מחולה
75,Mechora,מכורה,Settlement,Peace Now + B'Tselem,Jordan Valley,Moshav,26.4,225.0,1973.0,68.0,3614.0,35.4228,32.1646,active,,מכורה
76,Ma'on,מעון,Settlement,Peace Now + B'Tselem,Har Hebron,Cooperative,4.7,770.0,1981.0,69.0,3657.0,35.163,31.4116,active,,מעון
77,Ma'ale Adumim,מעלה אדומים,Settlement,Peace Now + B'Tselem,Ma'ale Adumim,Urban,4.5,500.0,1975.0,70.0,3616.0,35.3105,31.7812,active,,מעלה אדמים
78,Ma'ale Efraim,מעלה אפרים,Settlement,Peace Now + B'Tselem,Jordan Valley,Urban,34.7,200.0,1970.0,71.0,3608.0,35.4054,32.0705,active,,מעלה אפרים
79,Ma'ale Levona,מעלה לבונה,Settlement,Peace Now + B'Tselem,Binyamin,Community,21.8,770.0,1983.0,72.0,3752.0,35.2395,32.0544,active,,מעלה לבונה
80,Ma'ale Michmash,מעלה מכמש,Settlement,Peace Now + B'Tselem,Binyamin,Community,10.9,590.0,1981.0,73.0,3651.0,35.3061,31.8789,active,,מעלה מכמש
81,Ma'ale Amos,מעלה עמוס,Settlement,Peace Now + B'Tselem,Gush Etzion,Community,14.1,715.0,1981.0,74.0,3653.0,35.2255,31.5989,active,,מעלה עמוס
82,Ma'ale Shomron,מעלה שומרון,Settlement,Peace Now + B'Tselem,Shomron,Community,7.9,315.0,1980.0,75.0,3637.0,35.0698,32.1644,active,,מעלה שומרון
83,Yatir (aka Metzadot Yehuda),מצדות יהודה,Settlement,Peace Now + B'Tselem,Har Hebron,Community,0.2,780.0,1983.0,76.0,3745.0,35.1124,31.3632,active,,מצדות יהודה
84,Mitzpe Eshtamoa,מצפה אשתמוע,Settlement,Peace Now,Har Hebron,,,,,286.0,,,,active,,מצפה אשתמוע
85,Mitzpe Yericho,מצפה יריחו,Settlement,Peace Now + B'Tselem,Binyamin,Community,15.3,160.0,1978.0,77.0,3576.0,35.394,31.8159,active,,מצפה יריחו
86,Mitzpe Shalem,מצפה שלם,Settlement,Peace Now + B'Tselem,Megilot,Kibbutz,7.8,-250.0,1971.0,78.0,3610.0,35.4,31.5688,active,,מצפה שלם
87,Masu'a,משואה,Settlement,Peace Now + B'Tselem,Jordan Valley,Moshav,30.0,-255.0,1970.0,79.0,3605.0,35.4916,32.1084,active,,משואה
88,Maskiyot,משכיות,Settlement,Peace Now + B'Tselem,Jordan Valley,Community,8.5,30.0,,80.0,3785.0,35.5019,32.317,active,,משכיות
89,Matityahu,מתיתיהו,Settlement,Peace Now + B'Tselem,Binyamin,Cooperative,0.0,290.0,1981.0,337.0,3648.0,35.042663,31.925974,active,,מתיתיהו
90,Negohot,נגוהות,Settlement,Peace Now + B'Tselem,Har Hebron,Community,2.6,0.0,1999.0,82.0,3724.0,34.9791,31.4936,active,,נגוהות
91,Neve Daniel,נווה דניאל,Settlement,Peace Now + B'Tselem,Gush Etzion,Community,4.2,930.0,1982.0,83.0,3725.0,35.1428,31.6778,active,,נווה דניאל
92,Nofei Prat,נופי פרת,Settlement,Peace Now + B'Tselem,Binyamin,Community,8.8,,1992.0,84.0,,35.3192284,31.8231247,active,,נופי פרת
93,Nofim,נופים,Settlement,Peace Now + B'Tselem,Shomron,Urban,10.5,400.0,1987.0,85.0,3790.0,35.1006,32.1547,active,,נופים
94,Nokdim,נוקדים,Settlement,Peace Now + B'Tselem,Gush Etzion,Community,8.2,570.0,1982.0,86.0,3726.0,35.2464,31.6485,active,,נוקדים
95,Nahalei Tal (Kerem Reim),נחלי טל (כרם רעים),Settlement,Peace Now,Binyamin,,,,2012.0,339.0,,,,active,,נחלי טל כרם רעים
96,Nahliel,נחליאל,Settlement,Peace Now + B'Tselem,Binyamin,Community,11.6,590.0,1984.0,87.0,3767.0,35.1389,31.9738,active,,נחליאל
97,Nili,"ניל""י",Settlement,Peace Now + B'Tselem,Binyamin,Community,3.8,360.0,1981.0,341.0,3655.0,35.047,31.9631,active,,ניל י
98,Nirit,נירית,Settlement,Peace Now,Alfei Menashe,Community,0.0,,,89.0,,,,active,,נירית
99,Niran,נירן,Settlement,Peace Now + B'Tselem,Jordan Valley,Kibbutz,28.3,-165.0,1977.0,90.0,3620.0,35.4552,31.9673,active,,נירן
100,Na'ale,נעלה,Settlement,Peace Now + B'Tselem,Binyamin,Community,4.9,420.0,1988.0,91.0,3787.0,35.0634,31.9626,active,,נעלה
101,Na'ama,נעמי (נעמה),Settlement,Peace Now + B'Tselem,Jordan Valley,Moshav,25.6,-200.0,1982.0,92.0,3713.0,35.4671,31.9063,active,,נעמי נעמה
102,Nerya,נריה,Settlement,Peace Now,Binyamin,Community,,,1991.0,302.0,,,,active,,נריה
103,Netiv Ha'gdud,נתיב הגדוד,Settlement,Peace Now + B'Tselem,Jordan Valley,Moshav,29.0,-220.0,1976.0,94.0,3555.0,35.4439,31.9885,active,,נתיב הגדוד
104,Susiya,סוסיה,Settlement,Peace Now + B'Tselem,Har Hebron,Community,3.2,800.0,1983.0,95.0,3756.0,35.1125,31.3925,active,,סוסיה
105,Sal'it,סלעית,Settlement,Peace Now + B'Tselem,Shomron,Moshav,1.8,270.0,1977.0,96.0,3567.0,35.0511,32.2425,active,,סלעית
106,Sansana,סנסנה,Settlement,Peace Now + B'Tselem,Har Hebron,Community,0.0,,1999.0,305.0,15101.0,34.9031843011,31.3629787383,active,,סנסנה
107,Ofarim,עופרים,Settlement,Peace Now,Beit Arye,Urban,3.3,,1989.0,98.0,,,,active,,עופרים
108,Ateret,עטרת,Settlement,Peace Now + B'Tselem,Binyamin,Community,16.0,720.0,1981.0,99.0,3658.0,35.1763,32.0002,active,,עטרת
109,Eli,עלי,Settlement,Peace Now + B'Tselem,Binyamin,Community,23.7,710.0,1984.0,100.0,3765.0,35.2666,32.072,active,,עלי
110,Alei Zahav,עלי זהב,Settlement,Peace Now + B'Tselem,Shomron,Community,5.0,360.0,1982.0,101.0,3727.0,35.0654,32.0709,active,,עלי זהב
111,Almon,עלמון,Settlement,Peace Now + B'Tselem,Binyamin,Community,6.9,590.0,1982.0,102.0,3715.0,35.2937,31.8294,active,,עלמון
112,Amihai,עמיחי,Settlement,Peace Now + B'Tselem,Binyamin,Community,30.0,,2018.0,1062.0,,35.3223624,32.0457,active,,עמיחי
113,Immanuel,עמנואל,Settlement,Peace Now + B'Tselem,Immanuel,Urban,13.2,400.0,1983.0,103.0,3660.0,35.1397,32.1641,active,,עמנואל
114,Enav,ענב,Settlement,Peace Now + B'Tselem,Shomron,Community,8.8,300.0,1981.0,104.0,3712.0,35.1257,32.2845,active,,ענב
115,Ofra,עפרה,Settlement,Peace Now + B'Tselem,Binyamin,Community,15.1,820.0,1975.0,105.0,3617.0,35.2623,31.9532,active,,עפרה
116,Etz Efraim,עץ אפרים,Settlement,Peace Now + B'Tselem,Shomron,Urban,4.9,200.0,1985.0,106.0,3778.0,35.0457,32.119,active,,עץ אפרים
117,Otniel,עתניאל,Settlement,Peace Now + B'Tselem,Har Hebron,Community,8.3,710.0,1983.0,107.0,3748.0,35.0288,31.4391,active,,עתניאל
118,Pedu'el,פדואל,Settlement,Peace Now + B'Tselem,Shomron,Moshav,4.5,380.0,1984.0,108.0,3768.0,35.051,32.0618,active,,פדואל
119,Pnei Hever,פני חבר,Settlement,Peace Now + B'Tselem,Har Hebron,Community,12.5,740.0,1982.0,109.0,3723.0,35.1647,31.4862,active,,פני חבר
120,Psagot,פסגות,Settlement,Peace Now + B'Tselem,Binyamin,Community,9.6,860.0,1981.0,110.0,3659.0,35.2239,31.8985,active,,פסגות
121,Petzael,פצאל,Settlement,Peace Now + B'Tselem,Jordan Valley,Moshav,34.5,-235.0,1975.0,111.0,3615.0,35.4422,32.0438,active,,פצאל
122,Tzofim,צופים,Settlement,Peace Now + B'Tselem,Shomron,Urban,1.8,160.0,1989.0,112.0,3791.0,35.0084,32.1982,active,,צופים
123,Kedumim,קדומים,Settlement,Peace Now + B'Tselem,Kedumim,Community,12.5,405.0,1977.0,113.0,3557.0,35.1597,32.2168,active,,קדומים
124,Keidar,קדר,Settlement,Peace Now + B'Tselem,Gush Etzion,Community,6.0,530.0,1985.0,114.0,3781.0,35.3105,31.7538,active,,קדר
125,Kalia,קליה,Settlement,Peace Now + B'Tselem,Megilot,Kibbutz,20.8,-360.0,1968.0,115.0,3601.0,35.4653,31.7502,active,,קליה
126,Kiryat Arba,קרית ארבע,Settlement,Peace Now + B'Tselem,Kiryat Arba,Urban,15.2,945.0,1972.0,116.0,3611.0,35.1192,31.5332,active,,קרית ארבע
127,Kiryat Netafim,קרית נטפים,Settlement,Peace Now + B'Tselem,Shomron,Community,10.7,445.0,1983.0,117.0,3746.0,35.1116,32.1165,active,,קרית נטפים
128,Karnei Shomron,קרני שומרון,Settlement,Peace Now + B'Tselem,Karnei Shomron,Urban,9.0,340.0,1978.0,118.0,3640.0,35.0927,32.1705,active,,קרני שומרון
129,Rosh Tzurim,ראש צורים,Settlement,Peace Now + B'Tselem,Gush Etzion,Kibbutz,3.9,940.0,1969.0,119.0,3602.0,35.1235,31.6679,active,,ראש צורים
130,Revava,רבבה,Settlement,Peace Now + B'Tselem,Shomron,Community,12.3,420.0,1991.0,120.0,3795.0,35.1279,32.1183,active,,רבבה
131,Ro'i,רועי,Settlement,Peace Now + B'Tselem,Jordan Valley,Moshav,15.0,30.0,1976.0,121.0,3619.0,35.4882,32.2471,active,,רועי
132,Rotem,רותם,Settlement,Peace Now + B'Tselem,Jordan Valley,Community,5.9,40.0,2001.0,122.0,3782.0,35.518,32.3361,active,,רותם
133,Rechelim,רחלים,Settlement,Peace Now + B'Tselem,Shomron,Community,24.0,,1991.0,123.0,15031.0,35.2565731604,32.1022486546,active,,רחלים
134,Reihan,ריחן,Settlement,Peace Now + B'Tselem,Shomron,Community,1.5,380.0,1977.0,124.0,3568.0,35.1361,32.4688,active,,ריחן
135,Rimonim,רימונים,Settlement,Peace Now + B'Tselem,Binyamin,Community,18.2,680.0,1977.0,125.0,3565.0,35.3401,31.9334,active,,רימונים
136,Shvut Rachel,שבות רחל,Settlement,Peace Now,Binyamin,Community,29.0,,1991.0,126.0,,,,active,,שבות רחל
137,Shavei Shomron,שבי שומרון,Settlement,Peace Now + B'Tselem,Shomron,Community,13.3,350.0,1977.0,127.0,3571.0,35.1843,32.2629,active,,שבי שומרון
138,Shadmot Mehola,שדמות מחולה,Settlement,Peace Now + B'Tselem,Jordan Valley,Cooperative,3.4,-155.0,1979.0,128.0,3578.0,35.5339,32.3461,active,,שדמות מחולה
139,Shilo,שילה,Settlement,Peace Now + B'Tselem,Binyamin,Community,27.1,700.0,1979.0,129.0,3641.0,35.2998,32.0525,active,,שילה
140,Shim'a,שמעה,Settlement,Peace Now + B'Tselem,Har Hebron,Community,2.9,615.0,1985.0,130.0,3784.0,35.0125,31.3877,active,,שמעה
141,Shani,שני,Settlement,Peace Now + B'Tselem,Shimon,Community,0.0,,1981.0,131.0,,35.0709238,31.3574711,active,,שני
142,Shaar Shomron,שער שומרון,Settlement,Peace Now,Shaar Shomron,Urban,,,2022.0,1169.0,,,,active,,שער שומרון
143,Sha'arei Tikva,שערי תקווה,Settlement,Peace Now + B'Tselem,Shomron,Urban,2.7,185.0,1983.0,132.0,3720.0,35.0253,32.1227,active,,שערי תקווה
144,Shaked,שקד,Settlement,Peace Now + B'Tselem,Shomron,Community,2.9,415.0,1981.0,133.0,3649.0,35.1679,32.4732,active,,שקד
145,Tomer,תומר,Settlement,Peace Now + B'Tselem,Jordan Valley,Moshav,31.2,-220.0,1978.0,134.0,3558.0,35.4383,32.0187,active,,תומר
146,Telem,תלם,Settlement,Peace Now + B'Tselem,Har Hebron,Community,7.4,720.0,1982.0,135.0,3719.0,35.0306,31.5636,active,,תלם
147,Tko'a,תקוע,Settlement,Peace Now + B'Tselem,Gush Etzion,Community,8.4,675.0,1977.0,136.0,3563.0,35.2299,31.6489,active,,תקוע
148,Tel Zion,תל ציון,Settlement,Peace Now,Binyamin,Urban,,,2000.0,1231.0,,,,active,,תל ציון
149,Gilad Farm,חוות גלעד,Settlement (B'Tselem-only),B'Tselem,,,,,2002.0,,15009.0,35.1811931992,32.1994737719,active,,חוות גלעד
150,,קדר הישנה,Settlement (B'Tselem-only),B'Tselem,,,,,1995.0,,,35.3010143,31.7455251,active,,קדר הישנה
151,Avraham Avinu,אברהם אבינו,Hebron Enclave,B'Tselem,,,,,,,16007.0,35.1069241102,31.5233897798,active,,אברהם אבינו
152,Beit Hadassah,בית הדסה,Hebron Enclave,B'Tselem,,,,,,,16002.0,35.1038336607,31.5254972278,active,,בית הדסה
153,Beit Hashalom,"בית א-רג'בי (""בית השלום"")",Hebron Enclave,B'Tselem,,,,,,,,35.1125106476,31.5263557716,active,,בית א רג בי בית השלום
154,Beit Romano,בית רומנו,Hebron Enclave,B'Tselem,,,,,,,16003.0,35.1048554345,31.5246414987,active,,בית רומנו
155,Beit Rachel and Beit Leah,בית רחל ובית לאה,Hebron Enclave,B'Tselem,,,,,,,,35.11096,31.531556,active,,בית רחל ובית לאה
156,Givat Ha'avot,גבעת האבות,Hebron Enclave,B'Tselem,,,,,,,16005.0,35.11096,31.531556,active,,גבעת האבות
157,Tel Rumeidah,תל רומיידה,Hebron Enclave,B'Tselem,,,,,,,16004.0,35.1014856183,31.5246111134,active,,תל רומיידה
158,Ramot Alon,רמות אלון,East Jerusalem,B'Tselem,,,,,,,6792.0,35.1949,31.8169,active,,רמות אלון
159,Pisgat Ze'ev,פסגת זאב,East Jerusalem,B'Tselem,,,,,,,6805.0,35.2449,31.8227,active,,פסגת זאב
160,Gilo,גילה,East Jerusalem,B'Tselem,,,,,,,6853.0,35.189,31.7332,active,,גילה
161,Neve Ya'akov,נווה יעקב,East Jerusalem,B'Tselem,,,,,,,6806.0,35.2411,31.839,active,,נווה יעקב
162,Har Homa,הר חומה,East Jerusalem,B'Tselem,,,,,,,6861.0,35.2221,31.7234,active,,הר חומה
163,Ramat Shlomo,רמת שלמה,East Jerusalem,B'Tselem,,,,,,,6800.0,35.2179,31.8105,active,,רמת שלמה
164,Talpiot (East),תלפיות מזרח,East Jerusalem,B'Tselem,,,,,,,6836.0,35.2321,31.7488,active,,תלפיות מזרח
165,French Hill (Giv'at Shapira),הגבעה הצרפתית (גבעת שפירא)*,East Jerusalem,B'Tselem,,,,,,,6820.0,35.2379,31.8032,active,,הגבעה הצרפתית גבעת שפירא *
166,Ramat Eshkol,רמת אשכול*,East Jerusalem,B'Tselem,,,,,,,6504.0,35.2249,31.8011,active,,רמת אשכול*
167,Ma'alot Dafna,מעלות דפנה*,East Jerusalem,B'Tselem,,,,,,,6501.0,35.2263,31.7968,active,,מעלות דפנה*
168,Jewish Quarter,הרובע היהודי,East Jerusalem,B'Tselem,,,,,,,6870.0,35.2316,31.7749,active,,הרובע היהודי
169,Nof Nesher - Talya Farm,נוף נשר - חוות טליה,Outpost,Peace Now,Har Hebron,Outpost,,,1996.0,300.0,,35.12189,31.366039,active,,נוף נשר חוות טליה
170,Hanekuda,הנקודה,Outpost,Peace Now,Shomron,Outpost,,,1996.0,255.0,,35.318612,32.169194,active,,הנקודה
171,Har Hemed,הר חמד,Outpost,Peace Now,Kedumim,Outpost,,,1996.0,257.0,,35.151163,32.230107,active,,הר חמד
172,Nahalat Ami,נחלת עמי,Outpost,Peace Now,Har Hebron,Outpost,,,1996.0,1209.0,,35.033134,31.438937,active,,נחלת עמי
