שם יישוב,סמל יישוב,תעתיק,סמל מחוז,שם מחוז,סמל נפה,שם נפה,אזור טבעי,סמל מעמד מונציפאלי,שם מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2024,סך הכל ישראלים 2024,יהודים ואחרים,ערבים,זרים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה ממוצע,ועדת תכנון,תחנת משטרה,שנה,שם יישוב באנגלית,שם אשכול רשויות מקומיות,סמל רשות מקומית,שם רשות מקומית,סמל סוג רשות מקומית,semel
גבעת יואב,4021,GIV'AT YO'AV,2,הצפון,29,גולן,294.0,71.0,מועצה אזורית גולן,,1.0,804.0,736.0,734.0,2.0,68.0,1968,310,1.0,264160745031.0,311.0,224.0,10004579.0,2024,Giv'at Yo'av,אשכול רשויות גליל מזרחי,5571.0,גולן,3,4021
גשור,4022,GESHUR,2,הצפון,29,גולן,294.0,71.0,מועצה אזורית גולן,,1.0,357.0,331.0,331.0,,26.0,1971,330,15.0,267455747240.0,347.0,224.0,10004579.0,2024,Geshur,אשכול רשויות גליל מזרחי,5571.0,גולן,3,4022
חד-נס,4026,HAD-NES,2,הצפון,29,גולן,293.0,71.0,מועצה אזורית גולן,,1.0,885.0,884.0,884.0,,1.0,1989,370,9.0,260416759249.0,-7.0,224.0,10004579.0,2024,Had-Nes,אשכול רשויות גליל מזרחי,5571.0,גולן,3,4026
חספין,4005,HASPIN,2,הצפון,29,גולן,294.0,71.0,מועצה אזורית גולן,,1.0,1956.0,1953.0,1953.0,,3.0,1973,370,,274674750221.0,418.0,224.0,10004579.0,2024,Haspin,אשכול רשויות גליל מזרחי,5571.0,גולן,3,4005
יונתן,4007,YONATAN,2,הצפון,29,גולן,293.0,71.0,מועצה אזורית גולן,,1.0,895.0,863.0,863.0,,32.0,1976,320,2.0,274628760495.0,550.0,224.0,10004579.0,2024,Yonatan,אשכול רשויות גליל מזרחי,5571.0,גולן,3,4007
כנף,4028,KANAF,2,הצפון,29,גולן,293.0,71.0,מועצה אזורית גולן,,1.0,543.0,531.0,531.0,,12.0,1991,310,1.0,265828752866.0,294.0,224.0,10004579.0,2024,Kanaf,אשכול רשויות גליל מזרחי,5571.0,גולן,3,4028
כפר חרוב,4004,KEFAR HARUV,2,הצפון,29,גולן,294.0,71.0,מועצה אזורית גולן,,1.0,544.0,518.0,518.0,,26.0,1974,330,15.0,262456740996.0,310.0,224.0,10004579.0,2024,Kefar Haruv,אשכול רשויות גליל מזרחי,5571.0,גולן,3,4004
מבוא חמה,4204,MEVO HAMMA,2,הצפון,29,גולן,294.0,71.0,מועצה אזורית גולן,,1.0,568.0,545.0,545.0,,23.0,1968,330,15.0,261724738212.0,347.0,224.0,10004579.0,2024,Mevo Hamma,אשכול רשויות גליל מזרחי,5571.0,גולן,3,4204
מג'דל שמס,4201,MAJDAL SHAMS,2,הצפון,29,גולן,291.0,99.0,מועצה מקומית,,2.0,11264.0,11260.0,2.0,11258.0,4.0,,270,,272174796593.0,1226.0,256.0,10004579.0,2024,Majdal Shams,אשכול רשויות גליל מזרחי,4201.0,מג'דל שמס,2,4201
מיצר,4019,MEZAR,2,הצפון,29,גולן,294.0,71.0,מועצה אזורית גולן,,1.0,379.0,366.0,366.0,,13.0,1981,310,15.0,269260741509.0,359.0,224.0,10004579.0,2024,Mezar,אשכול רשויות גליל מזרחי,5571.0,גולן,3,4019
מסעדה,4203,MAS'ADE,2,הצפון,29,גולן,292.0,99.0,מועצה מקומית,,2.0,4205.0,4205.0,2.0,4203.0,,,290,,270929792974.0,1035.0,256.0,10004579.0,2024,Mas'ade,אשכול רשויות גליל מזרחי,4203.0,מסעדה,2,4203
מעלה גמלא,4008,MA'ALE GAMLA,2,הצפון,29,גולן,293.0,71.0,מועצה אזורית גולן,,1.0,734.0,636.0,636.0,,98.0,1976,310,1.0,264347755050.0,113.0,224.0,10004579.0,2024,Ma'ale Gamla,אשכול רשויות גליל מזרחי,5571.0,גולן,3,4008
מרום גולן,4101,MEROM GOLAN,2,הצפון,29,גולן,292.0,71.0,מועצה אזורית גולן,,1.0,817.0,775.0,775.0,,42.0,1967,330,15.0,272775782124.0,977.0,224.0,10004579.0,2024,Merom Golan,אשכול רשויות גליל מזרחי,5571.0,גולן,3,4101
נאות גולן,4551,NE'OT GOLAN,2,הצפון,29,גולן,294.0,71.0,מועצה אזורית גולן,,1.0,742.0,711.0,702.0,9.0,31.0,1967,310,6.0,265047743635.0,312.0,224.0,10004579.0,2024,Ne'ot Golan,אשכול רשויות גליל מזרחי,5571.0,גולן,3,4551
נוב,4304,NOV,2,הצפון,29,גולן,294.0,71.0,מועצה אזורית גולן,,1.0,1192.0,1133.0,1133.0,,59.0,1973,310,2.0,273595748817.0,408.0,224.0,10004579.0,2024,Nov,אשכול רשויות גליל מזרחי,5571.0,גולן,3,4304
"נווה אטי""ב",4303,NEWE ATIV,2,הצפון,29,גולן,291.0,71.0,מועצה אזורית גולן,,1.0,226.0,206.0,206.0,,20.0,1972,310,10.0,269515796427.0,978.0,224.0,10004579.0,2024,Newe Ativ,אשכול רשויות גליל מזרחי,5571.0,גולן,3,4303
נטור,4014,NATUR,2,הצפון,29,גולן,294.0,71.0,מועצה אזורית גולן,,1.0,770.0,754.0,754.0,,16.0,1980,310,,270818751063.0,411.0,224.0,10004579.0,2024,Natur,אשכול רשויות גליל מזרחי,5571.0,גולן,3,4014
נמרוד,4035,NIMROD,2,הצפון,29,גולן,291.0,71.0,מועצה אזורית גולן,,,,,,,,,510,,270458794604.0,1095.0,224.0,10004579.0,2024,Nimrod,אשכול רשויות גליל מזרחי,5571.0,גולן,3,4035
ע'ג'ר,4501,GHAJAR,2,הצפון,29,גולן,292.0,99.0,מועצה מקומית,,2.0,2739.0,2739.0,1.0,2738.0,,,290,,258490797316.0,282.0,256.0,10004591.0,2024,Ghajar,אשכול רשויות גליל מזרחי,4501.0,ע'ג'ר,2,4501
עין זיוון,4503,EN ZIWAN,2,הצפון,29,גולן,292.0,71.0,מועצה אזורית גולן,,1.0,534.0,512.0,511.0,1.0,22.0,1968,330,15.0,274683778070.0,969.0,224.0,10004579.0,2024,En Ziwan,אשכול רשויות גליל מזרחי,5571.0,גולן,3,4503
עין קנייא,4502,EIN QINIYYE,2,הצפון,29,גולן,291.0,99.0,מועצה מקומית,,2.0,2470.0,2439.0,,2439.0,31.0,,290,,268585793634.0,801.0,256.0,10004579.0,2024,Ein Qiniyye,אשכול רשויות גליל מזרחי,4502.0,עין קנייא,2,4502
קדמת צבי,4025,QIDMAT ZEVI,2,הצפון,29,גולן,293.0,71.0,מועצה אזורית גולן,,1.0,734.0,698.0,698.0,,36.0,1985,310,7.0,265535770650.0,475.0,224.0,10004579.0,2024,Qidmat Zevi,אשכול רשויות גליל מזרחי,5571.0,גולן,3,4025
קלע,4024,QELA,2,הצפון,29,גולן,292.0,71.0,מועצה אזורית גולן,,1.0,415.0,412.0,412.0,,3.0,1984,370,9.0,264203781926.0,612.0,224.0,10004579.0,2024,Qela,אשכול רשויות גליל מזרחי,5571.0,גולן,3,4024
קצרין,4100,QAZRIN,2,הצפון,29,גולן,293.0,99.0,מועצה מקומית,,1.0,8012.0,7977.0,7895.0,82.0,35.0,1977,180,,264540766483.0,332.0,220.0,10004579.0,2024,Qazrin,אשכול רשויות גליל מזרחי,4100.0,קצרין,2,4100
קשת,4006,QESHET,2,הצפון,29,גולן,292.0,71.0,מועצה אזורית גולן,,1.0,979.0,932.0,932.0,,47.0,1974,320,2.0,275919765142.0,702.0,224.0,10004579.0,2024,Qeshet,אשכול רשויות גליל מזרחי,5571.0,גולן,3,4006
רמות,4702,RAMOT,2,הצפון,29,גולן,293.0,71.0,מועצה אזורית גולן,,1.0,872.0,770.0,767.0,3.0,102.0,1970,310,1.0,262730750640.0,-9.0,224.0,10004579.0,2024,Ramot,אשכול רשויות גליל מזרחי,5571.0,גולן,3,4702
רמת הנשיא טראמפ,4029,PRESIDENT TRUMP HEIGHTS,2,הצפון,29,גולן,292.0,71.0,מועצה אזורית גולן,,1.0,111.0,111.0,111.0,,,2022,370,,264828781989.0,662.0,224.0,10004579.0,2024,President Trump Heights,אשכול רשויות גליל מזרחי,5571.0,גולן,3,4029
רמת מגשימים,4701,RAMAT MAGSHIMIM,2,הצפון,29,גולן,294.0,71.0,מועצה אזורית גולן,,1.0,815.0,790.0,790.0,,25.0,1968,320,2.0,275955750162.0,429.0,224.0,10004579.0,2024,Ramat Magshimim,אשכול רשויות גליל מזרחי,5571.0,גולן,3,4701
שעל,4009,SHA'AL,2,הצפון,29,גולן,292.0,71.0,מועצה אזורית גולן,,1.0,452.0,399.0,399.0,,53.0,1976,310,9.0,267403780250.0,779.0,224.0,10004579.0,2024,Sha'al,אשכול רשויות גליל מזרחי,5571.0,גולן,3,4009
